date,weekday,start_local,end_local,duration_min,timezone_offset,id,v1_id,sport_id,sport_name,score_state,strain,kilojoule,average_heart_rate,max_heart_rate,percent_recorded,distance_meter,altitude_gain_meter,altitude_change_meter,zone_zero_min,zone_one_min,zone_two_min,zone_three_min,zone_four_min,zone_five_min
2025-08-04,Monday,2025-08-04 19:30:42,2025-08-04 20:43:39,72.95078333,+03:00,463f29e0-f2f5-4727-8895-7dfc89b26fec,1894636173,0,running,SCORED,13.801913,3118.7473,139,179,0.9999893,,,,1.15,19.36666667,33.86666667,13.58333333,4.049833333,0.9333333333
2025-08-05,Tuesday,2025-08-05 00:32:00,2025-08-05 00:53:31,21.51893333,+03:00,8d0e829b-7a41-4baa-b450-bc07a9d1e74d,1895010412,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-05,Tuesday,2025-08-05 09:20:47,2025-08-05 09:40:47,20,+03:00,88cee745-8e8a-42c6-a8cb-0f031384d6f8,1896235846,44,yoga,SCORED,4.514824,103.14152,74,97,1,,,,20.0005,0,0,0,0,0
2025-08-05,Tuesday,2025-08-05 17:29:05,2025-08-05 17:53:55,24.83941667,+03:00,6929b79b-bc88-42c2-a36b-746e5c58a005,1897096477,96,hiit,SCORED,4.6892357,276.4241,103,137,1,,,,15.39983333,9.433333333,0.01666666667,0,0,0
2025-08-05,Tuesday,2025-08-05 20:00:00,2025-08-05 20:53:59,53.97166667,+03:00,4203554c-e764-412c-813f-01c9e7f6dca6,1897452391,34,tennis,SCORED,7.883472,1279.9583,116,149,0.99898094,,,,14.19566667,30.6385,8.620833333,0.5166666667,0,0
2025-08-06,Wednesday,2025-08-06 00:42:49,2025-08-06 01:03:49,21,+03:00,29d4dd37-c04d-43a6-8159-8cd71262129f,1897803124,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-06,Wednesday,2025-08-06 23:52:41,2025-08-07 00:16:41,24,+03:00,69c5b875-e6f5-4c06-b4d5-e3dad0f40244,1900511998,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-07,Thursday,2025-08-07 17:14:00,2025-08-07 18:51:06,97.09465,+03:00,09e06a95-7c1d-4f57-ab2c-e4677c360591,1902715850,0,running,SCORED,14.576586,3935.5654,136,182,0.9998835,,,,1.616666667,36.61666667,33.84983333,19.31666667,5.3,0.3833333333
2025-08-07,Thursday,2025-08-07 21:00:06,2025-08-07 21:50:06,50,+03:00,28162c2c-b747-4d3b-bcd0-3128ca4d8fe6,1903067377,233,sauna,SCORED,,,,,,,,,,,,,,
2025-08-08,Friday,2025-08-08 20:04:30,2025-08-08 21:01:29,56.97583333,+03:00,13843c6f-6130-48bb-93b2-b61fc939f02c,1905670175,34,tennis,SCORED,9.191512,1656.777,123,152,0.9998391,,,,7.916666667,33.79983333,14.50933333,0.75,0,0
2025-08-08,Friday,2025-08-08 23:04:56,2025-08-08 23:24:56,20,+03:00,931c8f25-6832-4f4b-90a5-3c95d2416832,1905823597,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-09,Saturday,2025-08-09 10:10:22,2025-08-09 10:40:34,30.1971,+03:00,a316ddb8-6b18-45cd-833d-e6a55efe6598,1906808099,44,yoga,SCORED,6.6445336,155.64668,69,98,0.9995441,,,,30.18316667,0,0,0,0,0
2025-08-09,Saturday,2025-08-09 10:45:12,2025-08-09 10:48:12,3,+03:00,f9fe7985-2c32-4699-8b9b-c41443bdf91b,1906823893,88,ice-bath,SCORED,,,,,,,,,,,,,,
2025-08-09,Saturday,2025-08-09 19:45:00,2025-08-09 20:58:29,73.48333333,+03:00,600fcf1d-5467-4d04-9fd1-791111a64836,1908338234,0,running,SCORED,11.417476,2467.017,128,153,1,,,,3.283333333,49.28333333,18.58333333,2.333333333,0,0
2025-08-10,Sunday,2025-08-10 10:00:58,2025-08-10 10:29:58,29,+03:00,4f6366c5-72a4-44d1-ac25-069ca498662d,1909455192,44,yoga,SCORED,6.433115,149.54405,72,100,1,,,,28.99983333,0,0,0,0,0
